epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6669,0.66431,2.66226,1.19371,0.55152,0.54068,0.53622,0.4282,0.6608,1.59558,1.26905,0.000275231,0.000275231,0.000275231
2,168.13,0.64171,1.63957,1.15926,0.81638,0.64463,0.74,0.60304,0.66735,1.20476,1.28471,0.000547424,0.000547424,0.000547424
3,246.724,0.66942,1.40049,1.1599,0.77648,0.5888,0.69861,0.53999,0.81396,1.31898,1.39171,0.000814119,0.000814119,0.000814119
4,324.442,0.65777,1.20872,1.1585,0.79263,0.65689,0.71831,0.591,0.67027,1.27494,1.23445,0.00080826,0.00080826,0.00080826
5,402.317,0.63044,1.11406,1.14058,0.72608,0.74031,0.7987,0.66635,0.61934,1.05371,1.21619,0.000800013,0.000800013,0.000800013
6,480.513,0.64103,1.01567,1.14066,0.81707,0.79086,0.88303,0.74083,0.59123,0.84469,1.1893,0.000791767,0.000791767,0.000791767
7,558.94,0.61587,0.95108,1.11869,0.80449,0.78663,0.87563,0.74183,0.61111,0.79084,1.16054,0.00078352,0.00078352,0.00078352
8,636.636,0.61246,0.8778,1.12792,0.79017,0.86255,0.89217,0.75617,0.55316,0.74074,1.13898,0.000775273,0.000775273,0.000775273
9,714.312,0.57725,0.83519,1.1031,0.83775,0.79175,0.86641,0.74258,0.58428,0.76063,1.14669,0.000767026,0.000767026,0.000767026
10,792.19,0.57443,0.76388,1.09384,0.91522,0.75232,0.88518,0.75236,0.59953,0.78329,1.18545,0.00075878,0.00075878,0.00075878
11,869.587,0.55735,0.75974,1.08563,0.86065,0.87227,0.95347,0.83226,0.53838,0.61767,1.12247,0.000750533,0.000750533,0.000750533
12,947.748,0.55353,0.74236,1.08033,0.88039,0.89144,0.95156,0.83487,0.52768,0.62753,1.08902,0.000742286,0.000742286,0.000742286
13,1025.43,0.55335,0.70686,1.07856,0.89875,0.86311,0.93786,0.82456,0.52145,0.59757,1.09083,0.00073404,0.00073404,0.00073404
14,1103.8,0.54507,0.67512,1.06778,0.92712,0.90312,0.95543,0.84308,0.50551,0.49152,1.09248,0.000725793,0.000725793,0.000725793
15,1181.36,0.54613,0.67076,1.07921,0.84942,0.90883,0.95466,0.84227,0.52076,0.52694,1.08001,0.000717546,0.000717546,0.000717546
16,1258.94,0.53388,0.63456,1.0657,0.92147,0.88072,0.96097,0.84566,0.53075,0.50858,1.10392,0.000709299,0.000709299,0.000709299
17,1336.66,0.52802,0.63645,1.05808,0.84907,0.89513,0.95054,0.8451,0.48668,0.51956,1.05539,0.000701053,0.000701053,0.000701053
18,1414.32,0.51339,0.68451,1.04152,0.90292,0.92173,0.96915,0.87332,0.47885,0.46845,1.05273,0.000692806,0.000692806,0.000692806
19,1492.26,0.52094,0.59999,1.06502,0.91573,0.91193,0.96608,0.86445,0.48825,0.4769,1.05512,0.000684559,0.000684559,0.000684559
20,1569.53,0.51337,0.60192,1.04695,0.91805,0.88769,0.9586,0.87587,0.45994,0.4862,1.03088,0.000676313,0.000676313,0.000676313
21,1647.1,0.51926,0.61491,1.06187,0.94057,0.86377,0.95888,0.85178,0.51852,0.49411,1.09244,0.000668066,0.000668066,0.000668066
22,1724.55,0.51555,0.56842,1.05305,0.91063,0.92415,0.96766,0.8637,0.48223,0.4508,1.05307,0.000659819,0.000659819,0.000659819
23,1801.45,0.51108,0.55605,1.04738,0.9177,0.85464,0.96167,0.86311,0.50885,0.53554,1.07979,0.000651573,0.000651573,0.000651573
24,1878.6,0.50232,0.54252,1.05038,0.87436,0.92313,0.96786,0.87709,0.44893,0.45945,1.01539,0.000643326,0.000643326,0.000643326
25,1955.88,0.49652,0.55651,1.04302,0.952,0.87059,0.97029,0.86974,0.46488,0.45682,1.04426,0.000635079,0.000635079,0.000635079
